"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"206766_at",2.76570808027816,-0.68571908589731,0.200352597969553,-3.42256148832927,0.00062034065435161,0.0347302649866681
"206793_at",4.50004321707988,1.176067025636,0.143965660468083,8.16908019462551,3.10749550281624e-16,2.66258321191303e-13
"206799_at",4.25255033315395,1.84534137769317,0.261869322979682,7.04680241540298,1.83075987182007e-12,8.79970360828246e-10
"206898_at",4.02132107736278,-0.565707189924144,0.161138313620734,-3.51069324987248,0.000446939814984796,0.0269765480364636
"206999_at",3.70046426415945,-0.658403231156757,0.161037458615861,-4.0885098213535,4.34153168652542e-05,0.00400742692957173
"207018_s_at",4.06038620121548,0.609479008279255,0.156651103805192,3.89067803210113,9.99645017411961e-05,0.00794681286935421
"207039_at",5.92457690383287,-0.798081646049527,0.129164211928089,-6.17881403940164,6.4584914575638e-10,2.05286276055177e-07
"207056_s_at",3.90320601283182,0.842391841689614,0.167035347118594,5.04319508547805,4.57822059247591e-07,7.72361426970308e-05
"207134_x_at",5.8300085273381,0.465047621090149,0.136751608894314,3.40067385568789,0.000672199756631301,0.0372353025210021
"207357_s_at",5.44624594783323,0.636362357322479,0.135467818431709,4.6975168323337,2.63343488559476e-06,0.000361652273800808
"207522_s_at",5.32270267325892,0.596713070655044,0.134367303991545,4.44090975206729,8.9579359773601e-06,0.00104458014382151
"207741_x_at",5.23851351430193,0.495943462971401,0.145560745557366,3.40712367934354,0.000656513708600747,0.0364962359813679
"207746_at",3.86356656371653,-0.504062069886713,0.152262274475352,-3.31048561847348,0.000931342379534623,0.047549130242199
"207802_at",3.44666671053033,0.8515431397622,0.238013708735492,3.57770627703016,0.000346622648201637,0.0220846797388468
"207847_s_at",8.96682443881394,0.354283758879885,0.105223961827971,3.3669494355202,0.000760046228607458,0.0408682974820387
"208083_s_at",4.37072872453673,0.708047195058281,0.15090940314416,4.69186929579135,2.70720067923138e-06,0.000370491692955645
"208084_at",4.39304087061719,0.495947704608464,0.140198643621467,3.53746435627089,0.000403988710154454,0.0249573840470653
"208103_s_at",6.86519371709225,-0.532176242123038,0.11305671366024,-4.70716178538803,2.51189550555426e-06,0.000347381927915493
"208161_s_at",5.79523512886172,0.717508929014016,0.128324638481147,5.59135749382554,2.25301164213585e-08,5.35121739563814e-06
"208228_s_at",6.39241822944997,-0.760784538592871,0.133923018292838,-5.68076009853159,1.34097457040562e-08,3.34513745050424e-06
